id,Brand_Name,Color,Occasion,Size,Width,Model_Name,Market_Price,Lenskart_Price,Offer_Name,Quantity,Suited_For,Search_Product Name,Classification,Average_Ratings,Total_No_of_Ratings,Purchase_Count,Wishlist_Count
209623,Hooper,Black,,8-12 yrs,127 mm,HP S15813L,1000,1000,HOOPERSUN,151,8-12 yrs,Grey Black Full Rim Kids 8-12 yrs Round Hooper Sunnies HP S15813L-C3 Sunglasses,sunglasses,0.0,0,643,0
210928,Lenskart Blu,Black,Any occasion,Narrow,131 mm,LB E16051,2000,2000,LKBLUCE,162,Any age group,No search keywords,non_power_reading,0.0,0,400,0
211511,Vincent Chase,Maroon,Any occasion,Wide,140 mm,VC E16191,2000,2000,VCEYE,911,Any age group,No search keywords,eyeframe,0.0,0,953,0
213492,John Jacobs,Black,,Extra Wide,142 mm,JJ E15781,5000,5000,,268,,Black Full Rim Cat Eye John Jacobs  JJ E15781-C1 Eyeglasses,eyeframe,0.0,0,933,0
138338,John Jacobs,Silver,Any occasion,Medium,136 mm,JJ E13102,3500,3500,JJBOGO,795,Any age group,Silver Full Rim Round Eyeglasses,eyeframe,4.5,22,5096,1720
151371,Vincent Chase Polarized,Gold,Any occasion,Medium,136 mm,VC S14505,2000,2000,VCSUN,1937,,Gold Round Full Rim Sunglasses,sunglasses,5.0,8,10787,751
200816,Vincent Chase,Gold,Working,Wide,137 mm,VC E14888,2000,2000,VCEYE,2132,Any age group,No search keywords,eyeframe,4.9,14,1203,0
200982,Hooper online,Purple,Any occasion,2-5 yrs,113 mm,HP E14909S,1000,1000,HOOPEREYE,130,2-5 yrs,Purple Transparent Full Rim Round Eyeglasses,eyeframe,0.0,0,1319,0
204453,Lenskart Blu,Brown,Any occasion,Wide,139 mm,LB E14058,1200,1200,LKBLUCE,97,Any age group,Blue Brown Full Rim Wayfarer Eyeglasses,non_power_reading,4.6,298,2086,0
209430,John Jacobs,Grey,Any occasion,Extra Wide,142 mm,JJ S15783,5000,5000,JJSUN,547,Any age group,Square Full Rim Sunglasses,sunglasses,0.0,0,564,0
134574,John Jacobs,Gold,Party,Medium,134 mm,JJ E12340,5000,5000,JJBOGO,684,Any age group,Pro Titanium Gold Rimless Round Eyeglasses,eyeframe,4.45,22,7341,1512
138832,John Jacobs Online,Red,Any occasion,Medium,137 mm,JJ E13186,3500,3500,JJBOGO,448,Any age group,Titanium Flex Red Full Rim Rectangle Eyeglasses,eyeframe,4.3,6,1516,772
140642,John Jacobs,Black,Any occasion,Wide,140 mm,JJ E13316,3500,3500,JJBOGO,656,Any age group,Black Full Rim Round Eyeglasses,eyeframe,5.0,2,5163,1111
146597,John Jacobs,Brown,Any occasion,Wide,138 mm,JJ E13772,5000,5000,JJBOGO,1030,Any age group,Tortoise Golden Full Rim Clubmaster Eyeglasses,eyeframe,4.45,15,2692,2587
149975,Hooper online,Grey,Any occasion,5-8 yrs,123 mm,HP E10089,1000,1000,HOOPEREYE,136,5-8 yrs,Grey Full Rim Rectangle Eyeglasses,eyeframe,5.0,6,4286,24
151055,Vincent Chase,Tortoise,Sports,Wide,142 mm,VC S14459,2000,2000,VCSUN,1307,,Tortoise Wayfarer Full Rim Sunglasses,sunglasses,4.75,9,9921,398
204462,Lenskart Blu,Green,Any occasion,Medium,137 mm,LB E14060,1200,1200,LKBLUCE,492,,Green Transparent Full Rim Geometric Eyeglasses,non_power_reading,4.65,60,1453,0
205305,John Jacobs,Black,Any occasion,Narrow,131 mm,JJ E15134,5000,5000,JJEYE,44,Any age group,Black Full Rim Round Eyeglasses,eyeframe,0.0,0,1046,0
209514,Vincent Chase Polarized,Brown,Vacation,Wide,143 mm,VC S15792,1000,1000,VCSUN,460,Any age group,Round Full Rim Sunglasses,sunglasses,0.0,0,320,0
216829,John Jacobs,Black,Any occasion,Extra Wide,144 mm,JJ S16899,5000,5000,JJSUN,12,Any age group,No search keywords,sunglasses,0.0,0,162,0
144846,John Jacobs,Blue,Any occasion,Wide,139 mm,JJ E13575,5000,5000,JJBOGO,1420,Any age group,Matte Blue Full Rim Rectangle Eyeglasses,eyeframe,4.8,11,2884,954
146595,John Jacobs,Transparent,Any occasion,Medium,135 mm,JJ E13771,5000,5000,JJBOGO,1307,Any age group,Transparent Full Rim Clubmaster Eyeglasses,eyeframe,4.8,13,3006,1456
146792,John Jacobs Online,Black,Party,Medium,137 mm,JJ E13790,5000,5000,JJBOGO,2773,Any age group,Black Full Rim Aviator Eyeglasses,eyeframe,4.75,8,8945,987
209542,Vincent Chase,Gunmetal,Any occasion,Medium,139 mm,VC S15804,1000,1000,VCSUN,276,Any age group,Aviator Full Rim Sunglasses,sunglasses,0.0,0,486,0
210343,Vincent Chase,Blue,Any occasion,Medium,137 mm,VC E15936,2000,2000,VCEYE,1,,Blue Half Rim Rectangle Eyeglasses,eyeframe,0.0,0,2892,0
210924,Lenskart Blu,Blue,Any occasion,Extra Wide,144 mm,LB E16049,2000,2000,LKBLUCE,128,Any age group,Gunmetal Blue Full Rim Aviator Lenskart Blu LB E16049-C2,non_power_reading,0.0,0,480,0
